rank,token_id,token,dot_product
1,19703, roots,-0.01411862339643561
2,330," """,-0.013800513789020835
3,802,fer,-0.01370080999033834
4,12128, closer,-0.013250175240265363
5,2477, non,-0.012284226474462479
6,1389,ger,-0.012032504016723247
7,3687, media,-0.011942807270682226
8,21357, toy,-0.011895960436705946
9,2500, available,-0.011805445929035485
10,1736, post,-0.01171231859097284
11,259, t,-0.011657645962976887
12,3704, root,-0.011652212181305993
13,2266, context,-0.011638406621446246
14,99408,根,-0.011519090212131294
15,10605,ectors,-0.011447874113908659
16,362, A,-0.011203259560957291
17,220, ,-0.011103385882509711
18,99630,架,-0.01089862246459243
19,1495, down,-0.010874393446988956
20,434, F,-0.01086060252653992
21,51535,}_{,-0.010733045812419795
22,6285, Down,-0.010709000842505714
23,40084, Andrea,-0.010627279404473264
24,1,"""",-0.01058205955823754
25,8168, factor,-0.01050127429263871
26,6305, lives,-0.010498670202022088
27,21615, projection,-0.010343306807245423
28,111841,因子,-0.010330883800896182
29,3881, known,-0.010301013630305056
30,5607,ula,-0.01023367786849332
31,11581, Non,-0.01018576710406624
32,62112,因,-0.010114852797882004
33,74587, Roots,-0.010091006864163608
34,422, D,-0.010085300160121768
35,110589,系数,-0.010077226000502482
36,2725, invest,-0.010054975138865323
37,59726, systematically,-0.010045851461790642
38,326, l,-0.010000914330894867
39,107422,垂直,-0.009998125699142137
40,659, .,-0.009984818621167587
41,65676,非,-0.009905482211986172
42,1486, play,-0.009873903884638074
43,62940, Sho,-0.009846133444896155
44,20803, ranks,-0.009835181141988003
45,429, that,-0.009818412454067046
46,99622,补,-0.009791059978947157
47,21637,_non,-0.009781689156069223
48,3893, ge,-0.00976574310996245
49,25298, pap,-0.00975279525635648
50,647, V,-0.009714697218189017
