rank,token_id,token,dot_product
1,99314,走,-0.05348763880928315
2,2020,come,-0.0503088141275299
3,41070, Academic,-0.049564636545300196
4,18495, computers,-0.047449374611954705
5,38095, Benefits,-0.04687827863262087
6,54970,stral,-0.04532179081533172
7,25420,unto,-0.04508621458077665
8,101158,是一种,-0.04401566422155444
9,36765, Hardware,-0.043918844357531114
10,57154,�,-0.04375768242435888
11,60279,ность,-0.04308621400159418
12,45880, dividend,-0.041993032183246765
13,7306,inton,-0.04192210003765334
14,58250,anteed,-0.041880973537028715
15,110314,电磁,-0.04173361112468148
16,16408,Country,-0.04167692996041422
17,54927,utorials,-0.041416729762801564
18,12835,gricult,-0.041087606607527985
19,17482,Buy,-0.04099168948317693
20,124326, الك,-0.040954980353060125
21,20967,allowed,-0.040799817281803395
22,15249,ções,-0.040769463949663146
23,15088, monthly,-0.04074512310503914
24,9521, puts,-0.04070793882272959
25,71631, Вы,-0.04061484646309301
26,15871, membership,-0.04022820372873245
27,107761,行走,-0.04016113551687628
28,51548, Collision,-0.04014955056650304
29,52813,usi,-0.04005552791092654
30,19722,_net,-0.04001498765153075
31,108656,到期,-0.03987797834759086
32,38439,INC,-0.039807322057688235
33,20622, lung,-0.03960425182484023
34,58755, exponential,-0.03958046580445871
35,128743, чем,-0.039494233361642546
36,5094,riteria,-0.03927897563858032
37,8886, Each,-0.03919215972288501
38,9775, annual,-0.039029541853313345
39,3920, study,-0.03900868546980374
40,102637,强烈,-0.038965207085735046
41,685,ia,-0.03893474260139862
42,98358, 종,-0.038776541455830024
43,78805, mik,-0.03868277367099712
44,101217,始终,-0.038653677398518785
45,64753, Printable,-0.03847966872915197
46,8500, sequence,-0.03839252491048156
47,9460, Aut,-0.03832373059643943
48,51762, BUY,-0.03829640196579939
49,38426, goodness,-0.03809347399283386
50,15993, Santa,-0.0380335390624376
