rank,token_id,token,dot_product
1,27445, CSV,0.0017665451306737626
2,30546, drill,0.001747263286255237
3,32842,orf,0.0016129926465155242
4,33,B,0.0015898170832665773
5,63758, FIND,0.0015740511364234155
6,49347, MATLAB,0.00153158941189898
7,9189, Click,0.0015232162117700886
8,22419, П,0.0015222441658726356
9,28369, Diff,0.0015120699838218291
10,55667, dissolved,0.0015068929798920396
11,80072, Nachricht,0.0015023715315244381
12,9299,-P,0.0014962998892457087
13,25659, blogs,0.0014768130676801727
14,4149, Math,0.0014682650303932988
15,126932, 매,0.0014408823606682406
16,13808, Po,0.001434657333709277
17,10374,math,0.001427343065916948
18,28400,асс,0.0014104637275458303
19,102270,全体,0.0013933169115934816
20,29635,设,0.0013879686613680999
21,15262, LLC,0.0013830480257012862
22,5057,inline,0.0013754865143841277
23,17143, Robin,0.0013736286051582414
24,99727,阿,0.0013734312830260636
25,100372,完全,0.001353907460386751
26,4262,Lo,0.0013496316067848643
27,22206,",l",0.0013448897564130187
28,55,X,0.0013409791072975178
29,7834, torch,0.0013392711569901873
30,32710, Predict,0.0013292955498861235
31,17433,cribed,0.0013264979580701886
32,124805, Л,0.0013160523735722043
33,98641,装,0.001314548390584694
34,3203,(h,0.0013086923640306097
35,18157, Micro,0.0013083657712355057
36,5615,Ass,0.0013083634937026056
37,108168,考研,0.001305085945734603
38,73157,每,0.0012996034001635799
39,14352, Ohio,0.0012990775991411226
40,99459,哪,0.0012977980244193179
41,41875, barrels,0.0012950481128521966
42,20662, NA,0.001291808286993065
43,2688, Ass,0.0012866404812132306
44,13253,Auto,0.0012819082522856156
45,2008,Prop,0.0012755287829471877
46,17912, APP,0.0012752175856621736
47,30931, prescribed,0.0012735334356422303
48,8215, о,0.0012722904912978964
49,50613, exhibited,0.0012718439293982035
50,14666,adr,0.0012653515963053793
