rank,token_id,token,dot_product
1,49937, vibrating,-0.003967273466733585
2,4191,oom,-0.003884069575891696
3,91431,Nx,-0.003747800712229293
4,39342, neighbourhood,-0.0036992170837191717
5,124789, הח,-0.0033847711569281605
6,94380, chute,-0.003324246571806605
7,32290,면,-0.003312550929279535
8,64993, Crossing,-0.003292507078603202
9,43747, Vic,-0.003264527769759085
10,679,ory,-0.0031997278042190484
11,15088, monthly,-0.003184601208457514
12,19950, concentration,-0.0031764980029732616
13,126057,ечение,-0.0031609903776963644
14,74066,ходим,-0.0031575125364636056
15,25516,Michael,-0.0031556530691574823
16,36618,(alpha,-0.003154261316599443
17,1114,ement,-0.003141518434597037
18,37564, deviation,-0.003139997184050513
19,76231, Maritime,-0.0031179245830106395
20,106201,分离,-0.0031132036038367186
21,88966,-sheet,-0.0031029712894816604
22,16141,Answer,-0.003100150586795139
23,26619,ание,-0.0030869887342407313
24,28615, Cape,-0.0030733369099274236
25,80748,vergence,-0.003067050235072664
26,48658, voucher,-0.0030539275745059963
27,31273, clarity,-0.00303793649363906
28,67508, weave,-0.0030138324013713478
29,66705, educating,-0.0030111228143068726
30,38975, simplicity,-0.0029979783184239423
31,113759,三条,-0.002991128626356216
32,2392, element,-0.002985794569334921
33,144159,△,-0.002982465213148792
34,46060,FLOW,-0.002978339794260469
35,22721, bite,-0.002977725059870564
36,81602, точ,-0.0029765593656778926
37,85838, Greenwich,-0.002976403173550728
38,66097, Whitney,-0.0029738738729902514
39,37871, oak,-0.0029531462944017567
40,9392,Center,-0.0029426826815552847
41,87975, differed,-0.002928941065227745
42,36738,education,-0.002927376157879911
43,145256,द,-0.0029250195978600528
44,2624,oo,-0.002924849420850334
45,46118, pencil,-0.002920249105382537
46,55748, Attachment,-0.002909255663428178
47,30715, decay,-0.0029081819609822106
48,31620, dried,-0.002907434856847125
49,103952,我们的,-0.0029049413764503105
50,91429, Blanch,-0.0028941251099017518
