rank,token_id,token,dot_product
1,10277, properly,-0.04190692619244939
2,101147,方便,-0.04153187966048193
3,9210, angle,-0.03887033263753072
4,4586, general,-0.03791927018546294
5,8661, easier,-0.037522746863080526
6,19703, roots,-0.03708232409353698
7,12128, closer,-0.036741052143354436
8,54039,州,-0.03599740348246379
9,220, ,-0.035497223878791784
10,6169, proper,-0.03549710212892218
11,2266, context,-0.03487549661369732
12,1736, post,-0.03457123110852463
13,59008, slopes,-0.0341862272349538
14,12264, trouble,-0.03409687636430738
15,1070,ute,-0.03395800787513752
16,2421, few,-0.033532245706966224
17,2251,ency,-0.033384346313314064
18,101121,范围,-0.03317685950731378
19,16129, tournament,-0.03303143357414398
20,89549,-plane,-0.03292404924113188
21,25941, angles,-0.03286890445827368
22,5523,/t,-0.03247143462206192
23,709,ge,-0.03235385432729954
24,5367, iter,-0.03209542037920351
25,13581, potentially,-0.0320639290280711
26,99408,根,-0.03202490836477746
27,4044,angle,-0.03138444206019036
28,100350,获得,-0.030949150280420862
29,64429,对象,-0.0305956788317945
30,8525,$(,-0.030529585354147126
31,2664, better,-0.03052837661146398
32,5683, tor,-0.030480495107809077
33,12993,_root,-0.03041111008736431
34,1290, right,-0.030406270006680464
35,35987,全,-0.030403659024879542
36,3645, contact,-0.029987616641012994
37,9376,EG,-0.029909454662081003
38,13759, Again,-0.029770977965437512
39,67898,ruits,-0.02969988774071708
40,882, time,-0.02963818885059465
41,11639, frequency,-0.029637399323061416
42,7999, posts,-0.029544873653793855
43,4930, $(,-0.029441562485798295
44,3704, root,-0.029056397218145243
45,20866, fallen,-0.0290293712001027
46,18732, boundary,-0.028995531212358115
47,4128, language,-0.028977561965368312
48,198,"
",-0.028533232932029962
49,21727,_angle,-0.02849431423088273
50,528,_t,-0.02841065687705967
