rank,token_id,token,dot_product
1,19404, brut,-0.006444758753846758
2,68148,&E,-0.005946010381592507
3,8690,Register,-0.005767521814955719
4,74343,uele,-0.00575168896946938
5,22072,oler,-0.005676761910251311
6,84483,[--,-0.005589426099504809
7,50691, filtr,-0.005444235673036121
8,65575,""",-",-0.005412060932647946
9,58771, rarity,-0.005367899278455612
10,1481,enu,-0.005365766190130855
11,7542, Search,-0.005322195226987967
12,59265,/details,-0.005313731222444623
13,109534,几千,-0.0052782973273384015
14,27059, salv,-0.005274397473628048
15,36029,.design,-0.005221267438183207
16,4524,emy,-0.005219386286544118
17,19428,-search,-0.005209933549256265
18,69495,]-$,-0.005202501245586419
19,21922, neighbour,-0.005193478747403991
20,27671, generous,-0.0051888794366049314
21,115297,一角,-0.0051838917938366045
22,98700,-non,-0.005182360980433891
23,70526,-Th,-0.00516870247732841
24,79318,"[]){
",-0.00516670475272089
25,31970,MEM,-0.005157581058481234
26,8752, Thread,-0.0051124625716151215
27,92264, amort,-0.00511151439029172
28,20878, horm,-0.005102104262741575
29,77390,)V,-0.005092405501251028
30,31801,-labelled,-0.005058474755310547
31,36326,NV,-0.0050470137232205455
32,28372,"—

",-0.005044870942491191
33,75660,dealloc,-0.005012673915438026
34,33203,-fe,-0.005006815225890738
35,61879,-sw,-0.00498235492160461
36,56775, sortable,-0.004981844074343607
37,25523, Hung,-0.004979272359033916
38,93687,"!!,",-0.004978236613502565
39,22167,acted,-0.004966497105762874
40,34435,-ed,-0.004958891316261215
41,98942,.terminate,-0.004955794155978903
42,111521,分期,-0.004953490327487207
43,114711,一架,-0.004930168622878359
44,82323,/GL,-0.004914453849022187
45,45076,).*,-0.004904904957519648
46,93960,+E,-0.004901034698020737
47,71492, Sith,-0.004895238307801688
48,22370,)arg,-0.00489514435197626
49,56353,-Mobile,-0.004878819335409749
50,85460, unheard,-0.004877229303008986
