rank,token_id,token,dot_product
1,22437, Antonio,0.004497864201289087
2,31045, achieving,0.004374533281238423
3,26237, accomplished,0.00425573441703078
4,81543,assi,0.004187725539147175
5,20692, conventional,0.004111033014330447
6,16994, achieved,0.004095146851341536
7,21828, solving,0.003879014982687088
8,13942, perfectly,0.003869287423016154
9,54451, Ji,0.0038394296148051357
10,8606, traditional,0.00376884633081009
11,76976, confidently,0.0037627568076993266
12,26764, unlimited,0.003761334114106736
13,45245, indirectly,0.0037236963289778817
14,25426, achievement,0.003624412732518907
15,722,ery,0.0036225088198419512
16,9942,lets,0.0036113645406754638
17,65590, Xiao,0.0036095866459470542
18,68903, associative,0.0035873110590996784
19,43347, incorrectly,0.003553835666479193
20,11416, classic,0.0035512996872565207
21,40663, Elementary,0.0034971793669243125
22,105719,前来,0.0034750425814619127
23,15484, regardless,0.003459486098052019
24,11075, achieve,0.003459036596166745
25,7156, Associ,0.0034516771138910062
26,35156, elementary,0.00344336504642563
27,145972,∵,0.003431331899715488
28,76443, Algebra,0.00343129250164762
29,10820, identified,0.0034073549421154738
30,48505, Unlimited,0.003375648405979011
31,78,o,0.003371742006220115
32,1124, \,0.003364913859495758
33,5702, activity,0.0033583029901905637
34,11995, �,0.003336332141951408
35,18016, Func,0.0033358088494854776
36,68387, alternatively,0.003318470019003294
37,99392,知道,0.0033181491077744953
38,49712, distributing,0.0032920194370700193
39,55234, indefinitely,0.003284723952409148
40,18130, rewrite,0.0032816964528595283
41,71026, concluding,0.0032781140645533127
42,109550,众所周知,0.0032692851533527604
43,608, /,0.003264568254080835
44,28469,ogenic,0.003259143942864154
45,56133, Alexandria,0.0032575721311210778
46,96008, Herrera,0.003254489571437813
47,15,0,0.0032452828242732837
48,86678,ensis,0.0032398256261317003
49,1414, know,0.0032341333017737416
50,92865, attainment,0.003196274694107687
