rank,token_id,token,dot_product
1,10282, keeping,-2.0334860861767017
2,37860, spinning,-1.9958579690796459
3,5677,apped,-1.8749911255781804
4,3946, official,-1.8719015592658992
5,43224,Episode,-1.8123952906059504
6,797,""");
",-1.7575507849410132
7,111198,指的是,-1.748736351091229
8,48083, recognizing,-1.7454085885499828
9,8056, station,-1.7279640164581003
10,36929,-zero,-1.7164706960694303
11,11772, interests,-1.7120375014189906
12,5646, includes,-1.7085227947474568
13,9029,-list,-1.7011461757406603
14,25100, dropping,-1.6971722104210885
15,13236,isted,-1.696611985737098
16,14887, endpoint,-1.6965180878637902
17,64485, publishes,-1.6948204525019421
18,30529,-\,-1.6755483770579345
19,6913,"-
",-1.671296579529111
20,104116,定位,-1.6535141392915786
21,4113, anything,-1.6515714239322448
22,105213,要注意,-1.649598559370932
23,38126, decrypt,-1.6364668220200824
24,21080, focusing,-1.6299134889275038
25,106716,首要,-1.6243073001811716
26,7587, и,-1.617835570708689
27,23604, dip,-1.6126231379127383
28,16445, featuring,-1.612347944653888
29,16480,ancement,-1.6082408629372478
30,17924, SN,-1.606491814399766
31,102016,承担,-1.5984180229682083
32,5101, resource,-1.591287258217426
33,100152,利用,-1.5785063695184078
34,51125,资,-1.5554385281546468
35,9331, cars,-1.5425604327042677
36,5010, blog,-1.5347467265791899
37,101184,本次,-1.524091953027686
38,60188, Funds,-1.5216047092778455
39,33644, relies,-1.5154039736599965
40,55878, predicts,-1.5133006559089037
41,11816, illegal,-1.5107356038147286
42,64547, Identify,-1.5081087175785588
43,9613,sn,-1.5053076443491182
44,116288,放手,-1.5002064605811591
45,100635,资金,-1.499607948395468
46,76813,具,-1.4963051574081931
47,29364, adapted,-1.4946236646281128
48,49296, stickers,-1.4904293653753422
49,100378,电影,-1.4883791584455697
50,15407,jet,-1.4852467285101945
