rank,token_id,token,dot_product
1,105984,但我,1.8242079380010816
2,72377,ldr,1.74372470094454
3,102989,使其,1.711891914327651
4,17342,Quantity,1.7115628525870075
5,76829,CRT,1.6920999199090805
6,61515,ovy,1.6915438551150999
7,102709,地板,1.642672379755643
8,58111,ív,1.5985224424505495
9,9392,Center,1.5935755060129801
10,41492, Alfred,1.5793909134042061
11,48539, catalogue,1.5692350194911004
12,69787, atm,1.567752969380183
13,83763, Amit,1.543730658612738
14,22566,xford,1.5433855913343915
15,110421,不出来,1.5417676331191839
16,18110,matrix,1.540391947760267
17,101986,人生,1.5386299672864499
18,8011, Nor,1.5270109209159868
19,4203,grid,1.5232423346617328
20,840,Ex,1.5122289511839493
21,106042,而成,1.508824013853259
22,5827, grid,1.507377573677485
23,4442,reen,1.497666164648363
24,23004,qr,1.4970630654355004
25,2696, lot,1.4954388381553034
26,18487,opper,1.4923446126675866
27,57817, theorem,1.491094760340917
28,11111, domin,1.4899605508993399
29,40056,"([],",1.4888785233862163
30,87289,-comm,1.484825884957558
31,64224,eterminate,1.4785662931274883
32,51347,_ITER,1.4752691365906305
33,91651, simplex,1.474871255836534
34,58585, Conflict,1.4656711118226662
35,46037, Sylv,1.4651440589314004
36,65930, convex,1.4642323784541293
37,36211, Liv,1.458731403419148
38,81476,Recovered,1.45721066944545
39,5451, mit,1.4546556218287106
40,9393, earth,1.44908954051949
41,11769,ivalent,1.4461090424488456
42,3522,Empty,1.4446699884107557
43,28629,.Collection,1.4424822251030829
44,9878,stat,1.4423514329592015
45,18713, Mess,1.43900819467002
46,4003,anger,1.4376216358972367
47,23229, RS,1.4365960416758021
48,94140,Titan,1.4335260622870336
49,11631, Matrix,1.4318034624046192
50,35135,paration,1.4292392137217713
