rank,token_id,token,dot_product
1,20125,andles,-1.7367790423738112
2,26480,-lo,-1.460090738517692
3,52265,.Accept,-1.4298696860463336
4,111318,租车,-1.429633072558416
5,11144,appy,-1.41285516465248
6,23518,arness,-1.411348549654981
7,105758,而来,-1.4026744474533837
8,14050, lux,-1.3926382734806941
9,140517, займ,-1.3698146287503108
10,1199,its,-1.3399306694904747
11,73650,(lo,-1.3379326872686945
12,78933,_Parms,-1.3274292885317356
13,775, lo,-1.3229941782098158
14,87090,:start,-1.3168243471842036
15,61790,---</,-1.308614213959645
16,42221,-cut,-1.2998275671718817
17,43924, Lay,-1.299391988809285
18,9369, Mex,-1.281934442268239
19,124214,بل,-1.2782760555752892
20,117233,索取,-1.2770181406314367
21,13912, codes,-1.2681733645893323
22,99580,显,-1.2643613687248036
23,18597, Begin,-1.2614743935809427
24,36949, mex,-1.2595864127799246
25,99353,觉,-1.2589594524877354
26,15504,inks,-1.2563537083789365
27,117661,布尔,-1.2533940188902026
28,102006,布局,-1.2533760105513974
29,117427,动工,-1.245384875815423
30,10962, lay,-1.2394391547168364
31,29757, Boys,-1.2392108547775451
32,57014,.lng,-1.2350490478830098
33,70769,族,-1.2335690775268373
34,56553,.low,-1.2267112750231028
35,81449,_CSR,-1.2220788751209812
36,80968,적,-1.2201119290600675
37,34395,고,-1.218191812964069
38,63289, Accepted,-1.2165699192556225
39,102295,租赁,-1.2139637712886118
40,15854, Sa,-1.213935337777727
41,99850,租,-1.2131332525568632
42,8008, Index,-1.2100273395551295
43,46100,代码,-1.2057206533800318
44,28323,uples,-1.202729026093968
45,21060,adows,-1.19776681377156
46,80942,广,-1.1973795590673095
47,116045,玖,-1.1946494311159048
48,15681, Pa,-1.1888248395813474
49,84541, bla,-1.1807556395017256
50,26369, Lux,-1.1787685993380261
