rank,token_id,token,dot_product
1,26964, stab,-0.013366294635621747
2,94380, chute,-0.010298002616011409
3,7391, spent,-0.01003466032017894
4,92063, stabilized,-0.009450435337308289
5,82498, amplified,-0.009141809187422495
6,100308,夺,-0.009120669983523289
7,88957, digs,-0.008985056256072377
8,108045,稳定的,-0.008910892548216455
9,27423,ogue,-0.008711609548975263
10,94029, dps,-0.008525361998714301
11,2002,icle,-0.008421274821179603
12,15175, stable,-0.008410673585905325
13,5233,igr,-0.008404487045564332
14,74916, divisible,-0.008360078017566372
15,34462,-close,-0.008320603298964446
16,107731,万多,-0.008306752979037262
17,112403,人选,-0.008133689653567047
18,42184, overload,-0.00809259649351457
19,25012, TOP,-0.008080189499235883
20,2186,map,-0.008035366707607322
21,50566,shopping,-0.007991445592932168
22,20558,cid,-0.007974559376667134
23,60870,-location,-0.00795226384620229
24,33938, discre,-0.007890437762233596
25,110267,我把,-0.007874171882570676
26,10314,rastructure,-0.007836426775567465
27,82409, overst,-0.007815998874036584
28,144655,Þ,-0.0077934107407715975
29,26507, orbit,-0.007757900267959167
30,37572,ï,-0.007736071197899083
31,72400, blurred,-0.007722997695929684
32,82535,Processed,-0.007720595498383449
33,24885, Later,-0.007684763235930703
34,33699, whit,-0.007668186099619067
35,145059,ÿ,-0.007655590652621801
36,18687, marg,-0.007639835714404047
37,35793, remot,-0.007625424419289706
38,82161,taken,-0.007625134306877293
39,67063,gran,-0.007599957700796467
40,83341, Stable,-0.0075931355140871765
41,107312,的一切,-0.007579065419000511
42,2593,mod,-0.00750778729047806
43,10296, tight,-0.007500745361540242
44,27991, invested,-0.007498446504915671
45,28408, Sit,-0.007494478752895939
46,22394, jug,-0.007455699198911356
47,112761,挂钩,-0.007416515679165214
48,105333,入口,-0.007403009312283965
49,95618, unab,-0.007399941542301364
50,15722, ske,-0.007395959602656613
